container_chain,member_chain,depth,parent_narc_path,parent_file_id,member_index,name,container_relative_offset,container_relative_end,gmif_relative_offset,gmif_relative_end,size,sha256,signature_hex,extension,probable_format,format_evidence,structure_valid,compressed,compression,compression_evidence,decompression_supported,declared_decompressed_size,decompression_valid,decompressed_size,decompressed_sha256,decompressed_format,decompressed_format_evidence,nested_container,nested_after_decompression
/msgdata/msg.narc,/msgdata/msg.narc!/member_00498,0,/msgdata/msg.narc,317,498,,1603080,1605498,1598036,1600454,2418,48ebfe3ccd2e701c69b588df3eed609bd322908cdd9da3a7e135842970f90d19,0f002b4703ab7fab6fab7fab6256fe56,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00499,0,/msgdata/msg.narc,317,499,,1605500,1607340,1600456,1602296,1840,f97d946d867d65820073612ddbb153e1433342678cc4021990ebed4b66ce7b9e,06000624daa5eea556a5eea5784adc4b,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00500,0,/msgdata/msg.narc,317,500,,1607340,1608120,1602296,1603076,780,6d42b64347c4d77a9005c3a99392a62d56feec507a5cbc0bc209ffea434bd103,04000a24c6b1e2b1d7b1e2b14a63c463,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00501,0,/msgdata/msg.narc,317,501,,1608120,1617966,1603076,1612922,9846,f2dc4bb951600acc71a3dd406927aaa9b767d405072db7eb6468de5a031ff043,25001e248aeca6edddeda6ed6ed94cdb,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00502,0,/msgdata/msg.narc,317,502,,1617968,1619214,1612924,1614170,1246,309436b7f09b68cb34b9b81ae17734fa1161083469852a80fd79cfe24c0a1a4b,07001224f6c9cac969c9cac916929493,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00503,0,/msgdata/msg.narc,317,503,,1619216,1619602,1614172,1614558,386,00f711cf2727632a6aedf5b4675104bae42f15057a7e1df076a7b4095d2bd0e2,020017a4af58bb58f858bb58ecb176b1,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00504,0,/msgdata/msg.narc,317,504,,1619604,1620330,1614560,1615286,726,4e38dfb3b33f7d4f50bc857ec972614b07571e5879c15f88e9126d3807ebbc1c,04002e24521d761ddd1d761d963bec3a,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00505,0,/msgdata/msg.narc,317,505,,1620332,1626330,1615288,1621286,5998,8e3f744e80ca682d9aef05dc639092cf6344c135d2c4bec21185f075d50191fd,1a0027475f9f8b9fc19f8b9f7e3e163f,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00506,0,/msgdata/msg.narc,317,506,,1626332,1626778,1621288,1621734,446,a6286b072cf67a26c644f870449f20e0eeaab22fc5f25b7277de9957241b4b46,020010cfc4c2d0c2a0c2d0c25485a085,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00507,0,/msgdata/msg.narc,317,507,,1626780,1627520,1621736,1622476,740,0ef20f3f6463e36c7e401edcb22a3a4c4465c12d0d6cf2e1e944ea992f14fa79,0300132edbaec7aeb8aec7ae945c8e5d,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00508,0,/msgdata/msg.narc,317,508,,1627520,1627614,1622476,1622570,94,4843d59669451f92d42043aa0ef155390a847387e3720d982de7e11207e5b0a6,01001f2eafd2a3d28ad2a3d2e01ace64,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00509,0,/msgdata/msg.narc,317,509,,1627616,1642292,1622572,1637248,14676,38a4986e2d3545c468f135c3f8ee9547d3de1ec2be9dc41e04752f05f487e782,340006144ad4eed5bdd5eed596a9dcab,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00510,0,/msgdata/msg.narc,317,510,,1642292,1644726,1637248,1639682,2434,e6f3bf6b3819b025b6e4bb4f93805fc6ae99b3f527de81a2a7b4429670406a9c,07001e149a1da61d0e1da61dc03a4c3b,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00511,0,/msgdata/msg.narc,317,511,,1644728,1645130,1639684,1640086,402,b6eb438159e992e4bfcf094d44dc6675ca00ac14af2f564b7dcaae5c27626b5e,02001214def9caf9d1f9caf9def394f3,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00512,0,/msgdata/msg.narc,317,512,,1645132,1645650,1640088,1640606,518,ea8daa3bbd720759b251dfe4fbb3047797e83e25abdb1b8369bf9ea0c297a105,02001794af88bb881f88bb882a107611,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00513,0,/msgdata/msg.narc,317,513,,1645652,1649852,1640608,1644808,4200,770cc32f3f7bf7c85bc871bed37558e04da1fe7c42ff99f8744d8fd36c612d0f,110023471b939793ea939793a8262e27,,Nintendo LZ11,Probable,,True,Nintendo LZ11,Probable,True,4662016,False,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00514,0,/msgdata/msg.narc,317,514,,1649852,1650312,1644808,1645268,460,20ad9255f75251e78322a614dc8030b55c9680fa31b7a998fa70608c0635081e,0200314f79a56da5c5a56da5be4bda4a,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00515,0,/msgdata/msg.narc,317,515,,1650312,1651072,1645268,1646028,760,45caccda40e67b01cf69423b1316b90b2ba85fb529dbb4d971796cdcd32031a9,030032ae768b6a8b378b6a8b0216d416,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00516,0,/msgdata/msg.narc,317,516,,1651072,1653086,1646028,1648042,2014,332448b627a979541320886a05e65c785e596e1138cf0e4cfc239e55ed7ddfe8,140006044a05ee055005ee05fc09dc0b,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00517,0,/msgdata/msg.narc,317,517,,1653088,1653470,1648044,1648426,382,b69334e8e442257cac3d1c3c4a5110d3aea7196b9ded1e4816ec9d954c5c8c07,02001e04b24da64df24da64df09b4c9b,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00518,0,/msgdata/msg.narc,317,518,,1653472,1654724,1648428,1649680,1252,a4041b87c3303bb5367bac568041e928c583efc99a248a785f2a6825c70fadd9,060017848fb8bbb8fcb9bbb8b4737671,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00519,0,/msgdata/msg.narc,317,519,,1654724,1657098,1649680,1652054,2374,e4ea3365b8999ec46c80925d65ecae7aa46fa67caa113204cca3e45e83c63290,0c003f4727e743e714e743e794cf86ce,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00520,0,/msgdata/msg.narc,317,520,,1657100,1657462,1652056,1652418,362,85a10bbe1ae3e7d64a0d3e6df4fba3a8b9d0c020c9ffca7311de46a0d136339b,0200d0cf84009000ad009000ae012001,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00521,0,/msgdata/msg.narc,317,521,,1657464,1657832,1652420,1652788,368,4cf4a85c6bf08cd80db152009d3353a4f6e346719444102fd537e76da903b40d,0200d32e93ec87ecbaec87ec80d90ed9,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00522,0,/msgdata/msg.narc,317,522,,1657832,1658874,1652788,1653830,1042,8215df14d1dc828955d4e7976e8b141a585ea2d4f38b2f66219828875b7c2ccf,03000674f2b5eeb5f8b4eeb59469dc6b,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00523,0,/msgdata/msg.narc,317,523,,1658876,1659310,1653832,1654266,434,35a264de5ba54af8a8f91d74e5d121bd93b2f28f1680770010ffddd8c6f8f195,02001e74b2fda6fdc5fda6fd96fb4cfb,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00524,0,/msgdata/msg.narc,317,524,,1659312,1664620,1654268,1659576,5308,757c4d0710024080cf779d62cad9b7a4ce9ab8e5e915fe14452b1afaab09f6f9,110017f43768bb680468bb687cd376d1,,Nintendo LZ11,Probable,,True,Nintendo LZ11,Probable,True,15996672,False,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00525,0,/msgdata/msg.narc,317,525,,1664620,1665186,1659576,1660142,566,d9982b6b55d626f2d2a8265acd7aeeb68d51afb6aabf289cdadec7d46d5ccff4,02002e74622d762dec2d762da45bec5a,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00526,0,/msgdata/msg.narc,317,526,,1665188,1666884,1660144,1661840,1696,2988e5467641b55139be06c1a6bbe7ef49d48421df3506a27fad0bc3ba0bc907,080027f4cf988b98ac988b9884311631,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00527,0,/msgdata/msg.narc,317,527,,1666884,1672388,1661840,1667344,5504,51564a82e9d272641d249ad701af357db055261d9a0736daad836c2315912802,11003b47c3db4fdb49da4fdb06b49eb6,,Nintendo LZ11,Probable,,True,Nintendo LZ11,Probable,True,4668160,False,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00528,0,/msgdata/msg.narc,317,528,,1672388,1673654,1667344,1668610,1266,1fdad47fbcaa2a59b17fbfbea7140433dcc287da6212e7d2ddf8dd4279ccecf9,0700f2ae16c92ac953c92ac97a935492,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00529,0,/msgdata/msg.narc,317,529,,1673656,1676970,1668612,1671926,3314,9cc095b0ee00cef0f2fe3d63d18cc8f9f2658645b1d4621a00dcc826661175a1,0a000664bae5eee55fe5eee56acadccb,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00530,0,/msgdata/msg.narc,317,530,,1676972,1678470,1671928,1673426,1498,9bfaba2aaa4bfd4730442ff5cf76c82bdbd64bdc41338bb8bfab349030983988,0a001e64f22da62d902da62d8c5b4c5b,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00531,0,/msgdata/msg.narc,317,531,,1678472,1678842,1673428,1673798,370,1c5a4025157a9401ed27ca540c374fcaf620e43f52f6d73ac3a25511e5e985bc,020017e4af98bb98d398bb9892317631,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00532,0,/msgdata/msg.narc,317,532,,1678844,1679388,1673800,1674344,544,d2a438890e28c8c9a72825f2dfc83599c1ab302ddd4b2cce51048ea91a3866e0,03002e646a5d765d0a5d765df8bbecba,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00533,0,/msgdata/msg.narc,317,533,,1679388,1681738,1674344,1676694,2350,05df47e5fbfa51ddd53e63186e503345dce2d57c4403807271d0fc22fb0d34a7,050027e4a7c88bc85fc88bc8c2901691,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00534,0,/msgdata/msg.narc,317,534,,1681740,1684316,1676696,1679272,2576,4689d568799c3d8549615496d53103d742d56fbce873a3ba2a5afd26c3484c3c,080037471fcf5bcf7dce5bcf269cb69e,,,,,False,,,,,,,,,,False,False
/msgdata/msg.narc,/msgdata/msg.narc!/member_00535,0,/msgdata/msg.narc,317,535,,1684316,1684684,1679272,1679640,368,612b2383af17aa1ea5a9550d4dd136fdbf2b3fe0bcc37b8dfc91f5693f7c0f94,0200914f59c44dc43cc44dc46c889a88,,,,,False,,,,,,,,,,False,False
